MovieID	CategoryGross	Storyline
245	3	As the story begins, an alliance of evil fairy tale-doers, led by Frieda, looks to take over Fairy Tale Land and take control of. But when Ella A.K.A. Cinderella realizes her own evil stepmother is out to ruin her storybook existence, she takes a dramatic turn and blossoms into the leader of the resistance effort. 
246	4	Tuesday, June 4, 1968: the California presidential primary. As day breaks 
247	6	The world's youngest citizen has just died at 18, and humankind is facing the likelihood of its own extinction. Set in and around a dystopian London fractious with violence and warring nationalistic sects, Children of Men follows the unexpected discovery of a lone pregnant woman and the desperate journey to deliver her to safety and restore faith for a future beyond those presently on Earth. 
248	2	In November of 1833, the state of Missouri turned a blind eye as hundreds of its peaceful inhabitants were hunted down and driven from their homes in the dead of night. Against this impending strife, a young man with a divine vision leads a people against the aggression of an anti-hero with a vulnerable past. With more than two million copies sold, the second volume of Gerald N. Lund's epic series The Work and the Glory now brings a pivotal moment in American history to the big screen. "The Work and The Glory: American Zion" sets the story of the fictional Steed family against the historically factual backdrop of the Mormon people's move into the West. Divided by their diverse reactions to a nascent ideology, the Steeds struggle to hold together as the strength of their convictions and their filial bonds are tested. The stirring narrative of the faith that led a persecuted people to Missouri and beyond is one of the most poignant untold tales of American history... 
249	1	In a small North American town, the middle age Martha and the twenty and something years old Kyle work in a doll factory. Martha nurses her old father and usually gives a lift to Kyle, who works also in the night-shift cleaning a shovel factory. When the young single mother Rose is hired to work with airbrush and stencils in the factory, she is befriended by Kyle and Martha. In a Friday night, Rose hires Martha to work as babysitter of her two year old daughter Jesse and Martha finds that she is dating Kyle. Rose returns back home early after stealing Kyle's savings, and Martha witnesses Jesse's father Jake accusing Rose of stealing weed and money from his house. On the next morning, Rose is found strangled in her house and Detective Don Taylor interviews Jake, Kyle and Martha along his investigation. 
250	6	Steve Martin and Bonnie Hunt return as heads of the Baker family who, while on vacation, find themselves in competition with a rival family of eight children, headed by Eugene Levy
251	3	A young singer turns his back on God and his father's church when tragedy strikes. He returns years later to find the once powerful congregation in disarray. With his childhood nemesis creating a "new vision" for the church, he is forced to deal with family turmoil, career suicide, and relationship issues that send him on a collision course with redemption or destruction. 
252	6	3 backpackers are in Amsterdam where they get locked out of their youth hostel. They are invited into a man's house where he tells them of a hostel somewhere in eastern Europe where the women are all incredibly hot and have a taste for American men. When they get there, everything is too good to be true - the hostel is "to die for" 
253	1	Lankester Merrin is a archaeologist by profession but an ordained Roman Catholic priest who has lost his faith and abandoned his vocation. He is haunted by what he was forced to do in his native Holland during World War II. The church he's excavated in Northern Kenyan dates to the Byzantine period but this puts its construction hundreds of years before Christianity was introduced to the area. the church was buried to the rooftop in sand and as its structure is exposed, a madness slowly descends on the camp. the local tribesmen are prepared to go to war and demand that the church be buried. Soon, two British soldiers are found dead and their commanding officer, Major Granville, shoots a innocent civilian in cold blood. As fear descends upon everyone in the camp, it becomes apparent that a young disabled boy, Cheche, is possessed by the devil forcing Merrin to re-examine his own beliefs. 
254	1	The film concerns the theme of self-imposed limitation and continues Matthew Barney's interest in religious rite, this time focusing on Shinto.
255	5	The candy recipes of the goody shops have been stolen by the Goody Bandit, and many animals are out of business. While the police are chasing the criminal, there is a mess at Granny's house involving Little Red Hiding Hood, The Wolf, The Woodsman and Granny, disturbing the peace in the forest. They are all arrested by the impatient Chief Grizzly. Detective Nicky Flipper is in charge of the investigation, and each accused gives his/her own version of the incident. Flipper uses the information to disclose the identity of the evil Goody Bandit. 
256	1	A man in a suit at a Manhattan firm leaves work on Friday; he looks unhappy. He stops at a fortune teller's for a Tarot reading: "You are not where you belong," she tells him. That evening he quits his marriage and walks the streets of New York, passing from a classy bar to a gentleman's club, then to a high-class bordello, a mugging, a pawnshop, and a diner where someone does listen. He shares his insights with her and later with others. Violence, disappointment, and musings entwine as Edmond loses his moorings while believing he's found them. Where does he belong? 
257	6	Admiral Frank Beardsley returns to New London to run the Coast Guard Academy, his last stop before a probable promotion to head the Guard. A widower with eight children, he runs a loving but tight ship, with charts and salutes. The kids long for a permanent home. Helen North is a free spirit, a designer whose ten children live in loving chaos, with occasional group hugs. Helen and Frank, high school sweethearts, reconnect at a reunion, and it's love at first re-sighting. They marry on the spot. Then the problems start as two sets of kids, the free spirits and the disciplined preppies, must live together. The warring factions agree to work together to end the marriage. 
258	1	In a Los Angeles dominated by violent gangs and a corrupt LAPD Precinct, the dirty Officer Armando Sancho is haunted by his guilty since an innocent old man was accidentally killed in an operation with his also dirty partner Salim Adel. The Internal Affairs is pressing Sancho, who feels split between the loyalty to his mates and his conscience, and he has to make a statement at 6:00 PM. When his superiors Captain Spain and his Lieutenant assign the two cops for an operation dealing drugs apprehended by the police and stored as evidence with a powerful drug dealer, Sancho feels that something is wrong and they have been framed. 
259	2	A romantic comedy about our amazing capacity to rebound and fall in love at any age. Lois, Harry, Marilyn ,Sandy and Jack live in an "Active Adult" community in Boynton Beach, Florida. Their lives intersect when they meet at a local Bereavement Club where they go to find emotional support after the loss of a loved one. For anyone who thinks that new love and romance ends long before retirement, they're in for a reality check. No one sees themselves as becoming old, and the residents of Boynton Beach aren't about to start. But sometimes we all need a little reminder that life is worth living and sharing. 
260	1	Josh and Emily are in a relationship, but he can be inattentive and unromantic and she can shift her focus from small things to emotional issues in a moment. He invites her to drive from New York City to somewhere in Virginia to pick up a chair that he's bought on eBay for his father's birthday. On the way, he stops at his brother Rhett's, outside Philly, and invites him along. Josh tries to save money at a motel, has to negotiate with the seller of the chair and with an upholsterer, and faces tough questions from Emily. He calls her "Dude," he's moody, and it looks as if the relationship will end soon. Is there more than meets the eye here? How do people decide? 
261	1	A man runs into a woman at a wedding. They start to flirt and talk and find that they get along. Throughout their discussion, the man talks about certain memories as if they were common to the two of them. We gradually learn that there may have been a previous connection between these two when they were younger. This just leaves more questions as their past is slowly revealed. 
262	2	A group of aspiring entertainers try to establish careers for themselves in the city of Los Angeles.
263	2	Charles Price may have grown up with his father in the family shoe business, but he never thought that he would take his father's place. Yet, the untimely death of his father places him in that position, only to learn that Price & Sons Shoes is failing. While in despair at his failed attempts to save the business, Charles has a chance encounter with the flamboyant drag queen cabaret singer, Lola. Her complaints about the inadequate footwear for her work combined with one of Charles' ex-employees, Lauren, leads to a suggestion to change the product to create a desperate chance to save the business: make men's fetish footwear. Lola is convinced to be their footwear designer and the transition begins. Now this disparate lot must struggle at this unorthodox idea while dealing both the prejudice of the staff, Lola's discomfort in the small town and the selfish manipulation of Charles' greedy fiancée who cannot see the greater good in Charles' dream. 
264	5	Chris Brander has always been friends with Jamie Palamino, but now decides it is time to take his relationship to the next step. The problem is, is that Jamie still wants to be 'Just Friends'. When he runs away and moves to L.A., he becomes a attractive music manager, who everyone wants. When his jet crashes, when flying to Paris with his newest singing sensation, Samantha James, he ends up back home. To his surprise, he encounters Jamie again, and sets out to be more than 'Just Friends' this time. 
265	2	Jim Davis is an ex-Army Ranger who finds himself slipping back into his old life of petty crime after a job offer from the LAPD evaporates. His best friend is pressured by his girlfriend Sylvia to find a job, but Jim is more interested in hanging out and making cash from small heists, while trying to get a law enforcement job so he can marry his Mexican girlfriend. 
266	4	In the early 1950's, the threat of Communism created an air of paranoia in the United States and exploiting those fears was Senator 
267	1	The American senate, in order to improve it's fast declining global image, asks comedian Albert Brooks to write a 500 page document about what makes Muslims laugh in India and Pakistan. Bidding adieu to his wife and young daughter,and accompanied by two government bureaucrats, Albert opens up an office in New Delhi, hires a pretty Secretary, Maya, and goes around asking people at random as to what makes them laugh. He finds that people generally look at him suspiciously and refuse to answer any questions. He then decides to go public and stage a comedy show, the suggested place for the publicity is old Delhi. Accordingly the four re-locate, book a school auditorium to seat about 400 people, go around the city distributing leaflets, inviting the general public to attend the show. They get a houseful response, however, Albert's comedy act fails to impress. He then decides to try his hand in Pakistan... 
268	7	When detective Eric Matthews is called to a crime scene of a victim of Jigsaw, he finds a lead to the place where he is hidden. Once there, he realizes that Jigsaw trapped his son Daniel Matthews with three women and four men in a shelter, and they are inhaling a lethal nerve gas. If they do not use an antidote within two hours, they will die. Eric follows with increasing desperation the death of each member of the group in monitors, while trying to convince Jigsaw to release his son. 
269	4	The inhabitants of Antonio Island, off the coast of Oregon, are about to unveil a statue honoring the four men (Castle, Wayne, Williams and Malone) who founded their town in 1871. Nick Castle is one of the descendants of the men, and owns a fishing charter company, using his vessel, the Seagrass, for tourism. When his girlfriend Elizabeth Williams returns to the island after spending six months in New York, a bizarre series of events begin to occur, including several gruesome deaths and the presence of a mysterious fog. When Elizabeth slips in Nick's boathouse and falls into the sea, she finds an old journal from 1871, written by Patrick Malone, one of the town's founders. It tells how a man named Blake bought half the island for use as a leper colony. While bringing his people to Antonio Island in their clipper ship, the Elizabeth Dane, Blake is betrayed by Castle, Wayne, Williams and Malone... 
270	1	Life is hard for Yorkshire miner's son Joe Carraclough, who is beaten at school by a his teacher, his only consolation is his collie Lassie. It gets worse: when the mine is decommissioned, his father, Sam, is forced to sell the dog to the duke, who owns the local estate. The Duke's servant, Hynes, scares the dog, who keeps running back, so the Carracloughs have to keep returning her, until the Duke moves to the Scottish Highlands for the holiday season. Lassie escapes, embarking on a desperate journey home, with daunting Glasgow dogcatchers and taken in by a circus performer. It looks like a miracle is needed, by Christmas. 
271	4	A tale of an inner city drug dealer who turns away from crime to pursue his passion, rap music.
272	6	Four adopted brothers come to avenge their mother's death in what appears to be a random killing in a grocery store robbery. However, the boys' investigation of the death reveals more nefarious activities involving the one brother's business dealings with a notorious local hoodlum. Two cops who are trying to solve the case may also not be what they seem. 
273	4	In 2006, in Red River, Tennessee, a teenager has frequent nightmares. Her mother reads an old letter from 1817 written by her ancestor, Lucy Bell. After a dispute of lands judged by the church, her husband John Bell is cursed by his opponent Kathe Batts, who has a fame of being a witch. From this moment on, an entity threatens John and her daughter Betsy Bell, attacking the girl during the nights. With the support of Betsy's school teacher Richard Powell, who tries to find rational explanations for the manifestation; her brother John Bell Jr.; and their friend James Johnston, who unsuccessfully tries to exorcize the entity from the house, the family does their best to protect Betsy in the haunted house. 
274	1	Ben's dad Sam shows up one night with a note from Ben's mother (Sam's wife of 46 years), that she has left. While Ben's wife and his three sisters try to find her, Ben takes Sam on a day trip to see a farmhouse that's for sale. The day trip turns into a road trip while dad and son explore their past, their relationship, and why Sam's wife might have left him. The road trip includes fishing, drinking, playing pool, sleeping under the stars, and frank discussion. Anger simmers close at hand, as do love and hope. Where Sam's wife is - and why she left - leads to the movie's resolution. 
275	1	Adam, a security guard, travels from California to the Philippines, his native land, for his father's funeral. He arrives in Manila. As he waits, a phone rings in his backpack; he answers it, and a male voice tells him that his mother and sister are captives and will be killed if Adam doesn't cooperate. Over the next hour, the voice sends Adam by bus, taxi, motorized tricycle, and on foot through an urban landscape of busy streets, cramped apartments, a fetid squatters' camp, a bank, a cockfighting arena, and a church. Adam's conversations with the voice cover murder, Islam, jihad, rebellion in Mindanao, and his family. What is it Adam will be commanded to do? Will he acquiesce? 
276	1	Eric and his Yankee teenage mates travel South by motorbike to a swampy backwater town in Louisiana, where Sean's father Ray lived, the local tow truck driver, who abandoned the then baby-boy and his mother. Ray recently died, while trying to rescue a voodoo witch and at her urging her trunk, which got opened and released the poisonous serpents possessed by the souls of truly evil sinners she trapped in them. Ray was bitten and penetrated as the car sunk, and shortly after it's dragged out rises as an 'undead' zombie, who murders without provocation and is immune to lethal weapons. He soon finds the teens' trace and proves his indiscriminately evil blood-thirst by charging his only offspring equally lethally. However they were warned by Eden's friend Cece, the witch's granddaughter, who explained the situation in her home and assures them when the zombie attacks it's safe thanks to a 'blessed'... 
277	2	As Inge buries her husband Olaf on their Minnesota farm in 1968, we relive her life story as she tells her grown grandson about how she arrived from Germany in 1920 as Olaf's postal bride and of the obstacles they overcame in order to marry... 
278	2	New York. Rebecca (Moore), an actress, is crushed to discover that her marriage may be falling apart. Her husband Tom (Duchovny) leaving long-suffering Rebecca to pick up the pieces of their relationship. Rebecca's brother Tobey (Crudup), meanwhile, is in a long-term relationship with Elaine (Gyllenhaal) that has begun to turn sour. Both couples are spoiled and bratty. 
279	4	The chief spokesperson and lobbyist Nick Naylor is the Vice-President of the Academy of Tobacco Studies. He is talented in speaking and spins argument to defend the cigarette industry in the most difficult situations. His best friends are Polly Bailey that works in the Moderation Council in alcohol business, and Bobby Jay Bliss of the gun business own advisory group SAFETY. They frequently meet each other in a bar and they self-entitle the Mod Squad a.k.a. Merchants of Death, disputing which industry has killed more people. Nick's greatest enemy is Vermont's Senator Ortolan Finistirre, who defends in the Senate the use a skull and crossed bones in the cigarette packs. Nick's son Joey Naylor lives with his mother, and has the chance to know his father in a business trip. When the ambitious reporter Heather Holloway betrays Nick disclosing confidences he had in bed with her, his life turns upside-down. But Nick is good in what he does for the mortgage. 
280	3	A successful DJ named Darrel (Usher), managed to rescue a powerful mobster one night. In order to repay Darrell, the mobster, Frank Pacelli, gives him the task of protecting his daughter, Dolly (Chriqui).
281	1	Theodora, Jody and Carol, collectively The Violas, are on tour when their van breaks down in a small southern beach town. The local police are investigating a mass of mysterious debris on the beach and the disappearance of a little girl's parents after she's found walking the beach in a state of shock. Scientist John Patterson is called in to help investigate. Both John and local mechanic Hector Garcia fall for Violas lead singer Theodora, but she seems to have no interest in them, possibly because of a mysterious past. Hector convinces the girls to stay in town when he offers to repair their van in exchange for playing his party, but the mysterious creature is still on the loose. 
282	6	Elizabeth Masterson, a dedicated doctor in San Francisco, had almost no time for anything. When her sister with two kids set her up on a date, she gets into a tragic car crash and gets in a coma. Meanwhile, an artist named David Abbott moves into San Francisco and coincidentally, into Elizabeth's apartment for rent. While at the apartment, Elizabeth's spirit haunts him. She doesn't remember who she is, who her family is, and what she did - All that she remembered was her apartment and where everything was. To settle the arguments, David agrees to figure out who Elizabeth really is. When they get close to figuring out who she is, they eventually find love in each other and as they finally know who she really is, they learn that fate really has put them both together. 
283	4	Dreamer Max, ridiculed by his classmates, conjures up his perfect dreamworld...the Planet Drool. But his dream is more powerful than even he suspects, and his favourite dream super-heroes, Sharkboy and Lavagirl, materialise on Earth. They need help from Max. All is not well in Max's dreamworld. An alien intelligence is interfering and darkness threatens his beloved Planet Drool. Is it true, as Sharkboy and Lavagirl say, that only Max, the powerful dreamer, can stop it? Max takes off on a wild and dangerous journey to the fantastic Planet Drool with Sharkboy and Lavagirl. Can they discover the source of the danger? Will they be able to stop it in time? 
284	1	A young gay man tries to balance his career as a personal assistant while searching for love.
285	2	After three weeks of chatting with the thirty-two year old photographer Jeff Kohlver over the Internet, fourteen year old Hayley Stark meets him in the Nighthawks coffee shop. Hayley flirts with him in spite of the age difference and proposes to go to his house. Once there, she prepares a screwdriver for them and Jeff passes out. When he awakes, he is tied up to a chair, and Hayley accuses him of pedophilia. Jeff denies the accusation, and Hayley begins to torture him in a cat and mouse game. 
286	2	Sarah Silverman appears before an audience in Los Angeles with several sketches, taped outside the theater, intercut into the stand-up performance. Themes include race, sex, and religion. Her comic persona is a self-centered hipster, brash and clueless about her political incorrectness. A handful of musical numbers punctuate the performance. It begins and ends with her in conversation with two friends: at the start, she's the loser compared to their recent artistic successes; by the end, she's the star, in her dressing room, dismissive and cutting. 
287	5	Helen McCarter has everything a woman wants: a nice house and rich husband. However after her husband Charles throws her out of the house after admitting to an affair a distraught Helen turns to her mother, grandmother Madea and cousin Brian who take her in and turn back to God. Helen learns for the first time in her life to stand up on her two feet and is ready to remove herself from her relationship with Charles and move on with Orlando. But when her husband is almost killed by a vengeful client, Helen wonders if she has the heart to forgive him despite everything. 
288	1	Rachel and Heck, long time friends and lovers, finally tie the knot, and during the celebration, Rachel starts a friendship with their florist, Luce. And while Rachel originally intended to match her new friend, Luce, up with her husband's friend, Cooper, she soon finds out that Luce is a lesbian. During the course of their friendship, Rachel starts to question her own sexuality. And though she comes to realize she may have feelings for her new friend, Rachel must decide who she will ultimately find the most happiness with: Heck, her new husband who is also adored by her family, or Luce, who has turned her life and everything she thought she new about love upside down. 
289	6	This is the story of a young resourceful heroine woman named Lisa Reisert who hates to fly, but the terror that awaits her on the night flight to Miami has nothing to do with a fear of flying! Upon boarding the plane, Lisa is trapped on a red-eye flight with a creepy villainous handsome and charming man by the name of Jackson Rippner, who's playing middle-man in the plot to assassinate a Homeland Security official. He's got her father pinned down by a would-be killer, using that advantage to coerce Lisa into phoning the luxury resort where she works and arranging to move the target into a pre-set position. 
290	4	The daughter of an actor with a high-society woman, Domino Harvey, bored with her life, decides to join the team of Ed Mosley and becomes a bounty hunter. But she gets in trouble when the Mafia's money is stolen from an armored truck, while Mosley and his crew are in action participating of a reality show produced by Mark Heiss. The situation becomes out of control when the sons of a rival mobster are kidnapped while FBI is monitoring the two gangs of mobsters. 
291	4	Something has gone wrong at a remote scientific research station on Mars. All research has ceased. Communication has failed. And the messages that do get through are less than comforting. It's a level 5 quarantine and the only souls allowed in or out are the Rapid Response Tactical Squad - hardened Marines armed to the teeth with enough firepower to neutralize the enemy...or so they think. 
292	2	A man is shot and quickly buried in the high desert of west Texas. The body is found and reburied in Van Horn's town cemetery. Pete Perkins, a local ranch foreman, kidnaps a Border Patrolman and forces him to disinter the body. With his captive in tow and the body tied to a mule, Pete undertakes a dangerous and quixotic journey into Mexico. 
293	5	Now that zombies have taken over the world, the living have built a walled-in city to keep the dead out. But all's not well where it's most safe, as a revolution plans to overthrow the city leadership, and the zombies are turning into more advanced creatures. 
294	2	Successfull Carolinian George Johnsten meets Chicago art gallery holder Madeleine at an electoral benefit art auction- love at first sight. Madeleine decides to meet a Southern original artist, so George seizes the opportunity to come along and present her to his South Carolina parents Eugene and Peg, drop-out brother Johhny and his high-pregnant wife Ashly. Confronting the outsider soon opens a can of worms as emotions revive or emerge, like admiration and jealousy. 
295	5	Anthony "Swoff" Swofford, a Camus-reading kid from Sacramento, enlists in the Marines in the late 1980s. He malingers during boot camp, but makes it through as a sniper, paired with the usually-reliable Troy. The Gulf War breaks out, and his unit goes to Saudi Arabia for Desert Shield. After 175 days of boredom, adrenaline, heat, worry about his girl-fiend finding someone else, losing it and nearly killing a mate, demotion, latrine cleaning, faulty gas masks, and desert football, Desert Storm begins. In less than five days, it's over, but not before Swoff sees burned bodies, flaming oil derricks, an oil-drenched horse, and maybe a chance at killing. Where does all the testosterone go? 
296	4	Ben Crane believes that a severely injured racehorse deserves another chance. He and his daughter Cale adopt the horse (in fact is a mare)and save it of being sacrificed by the owner. The arrival of the mare to Crane's farm, will be the perfect opportunity for both father and daughter to reconstruct their lost familiar bond. "Soñador" (Dreamer in English), the renamed mare, despite its broken leg, maybe could have another chance to return to the racecourse, with the help of Cale, Ben, and his father, Pop. 
297	1	Self-declared aspiring writer Hank Chinaski has neither qualifications, ambition nor ethics. Any dead-end job he lands is soon lost through laziness or mischief. His relationship with fellow deadbeat Jan gets strained to crisis through her insecurity, so he even gives up betting on horses which brought in easy money. 
298	4	Brandon Lang loves football: an injury keeps him from the pros, but his quarterback's anticipation makes him a brilliant predictor of games' outcomes. Needing money, he leaves Vegas for Manhattan to work for Walter Abrams advising gamblers. Walter has a doting wife, a young daughter, and a thriving business, but he has problems: a bum heart, a belief he's a master manipulator, and addictions barely kept in check. He remakes Brandon, and a father-son relationship grows. Then, things go awry. Walter may be running a con. The odds against Brandon mount. 
299	5	Sarah Nolan, a recently divorced thirty-something year old, has a family that just can't help getting involved in her personal life, or lack there of. After her sister puts her profile on PerfectMatch.com, this preschool teacher goes on a number of outrageous and hilarious dates. But will she be able to find the one, who must love dogs? 
300	4	Chris Wilton is a former tennis pro, looking to find work as an instructor. He meets Tom Hewett, a well-off pretty boy. Tom's sister Chloe falls in love with Chris but Chris has his eyes on Tom's fiancée, the luscious Nola. Both Chris and Nola know it's wrong but what could be more right than love? Chris tries to juggle both women but at some point, he must choose between them... 
301	2	'Me and You and Everyone We Know' is a poetic and penetrating observation of how people struggle to connect with one another in an isolating and contemporary world. Christine Jesperson is a lonely artist and "Eldercab" driver who uses her fantastical artistic visions to draw her aspirations and objects of desire closer to her. Richard Swersey, a newly single shoe salesman and father of two boys, is prepared for amazing things to happen. But when he meets the captivating Christine, he panics. Life is not so oblique for Richard's six-year-old Robby, who is having a risqué Internet romance with a stranger, and his fourteen-year-old brother Peter who becomes the guinea pig for neighborhood girls -- practicing for their future of romance and marriage. 
302	1	Following the death of her father, a teenage Dot moves into the home of her godparents and their teenage daughter Nina. Dot arrives wrapped up in the silence of being deaf-mute. She finds a different kind of silence waiting for her in her new home, for this home is a place with a dark secret involving Nina and her father. At first, Dot and Nina seem to be polar opposites. However, they gradually realize how much they have in common. Bringing them together catalyzes a series of events in which both reveal their secrets and shed their double lives. A violent consummation almost destroys them. Yet they find hope for the future in the quiet after the storm. 
303	1	Sayeed Choudhury was born Pakistan but has immigrated to the U.S.A., where he now lives in New York with his wife, Farida; a school-going daughter, Rasheeda; a school-going son, Ali; and unmarried sister, Duri. One morning Farida hears a knock on the door, Ali opens it and there is Sayeed's childhood friend, Hassan, who is welcomed with open arms by the family. Hassan informs them that he is going to be hired soon in the States and he is invited to spend a few days with the Choudhury family. Duri, who has a Caucasian boyfriend, Mike, is also thrilled to meet Hassan and openly shows her attraction to him. Ali also takes an instant liking to Hassan, and is taught the true values of Islam, and when one Muslim hurts, then the pain is felt by Muslims worldwide. Sayeed is quite content with the American way of life and feels secure and comfortable especially when he sees Germans, Jews, Muslims... 
304	3	Recently widowed well-to-do Laura Henderson is at a bit of a loose end in inter-war London. On a whim she buys the derelict Windmill theatre in the West End and persuades impresario Vivian Van Damm to run it, despite the fact the two don't seem to get on at all. Although their idea of a non-stop revue is at first a success, other theatres copy it and disaster looms. Laura suggests they put nudes in the show, but Van Damm points out that the Lord Chamberlain, who licenses live shows in Britain, is likely to have something to say about this. Luckily Mrs Henderson is friends with him. 
305	5	The resolutely single Don Johnston has just been dumped by his latest lover, Sherry. Don resigns himself to being alone yet again and left to his own devices. Instead, he is compelled to reflect on his past when he receives by mail a mysterious pink letter. It is from an anonymous former lover and informs him that he has a 19-year-old son who may now be looking for his father. Don is urged to investigate this "mystery" by his closest friend and neighbor, Winston, an amateur sleuth and family man. Hesitant to travel at all, Don nonetheless embarks on a cross-country trek in search of clues from four former flames. Unannounced visits to each of these unique women hold new surprises for Don as he haphazardly confronts both his past and, consequently, his present. 
306	4	Aspiring emcee DJay works the angles to get his first record made with help from assorted people in his Memphis 'hood. And when he hears that hip-hop superstar Skinny Black is heading to his area, he throws together a supreme hustle to grab Skinny's attention. 
307	1	Twelve-year-old Annie Lamm's first day of summer break quickly turns into a disaster. She realizes that her parents have not only decided to fly her to Hilton Head Island during their second honeymoon, but they also plan to coerce her to spend half her summer with her 76-year-old Grandpa Donald whom she hardly even knows. The place where Annie is staying, Grandpa's "beautiful house right by the beach", turns out to be a dilapidated and neglected dwelling filled with stored newspapers and dust covered knickknacks. Nothing edible is in the fridge, and only big-band and Perry Como records sit by his prehistoric stereo. Annie's summer plans of parties and boys are dashed in an instant -- Grandpa's house has no TV, no computer, and a swimming pool half-full of brown, brackish water with turtles living in it. His life consists of napping, doing crosswords and spending time with an old, codger named Barney with whom he trades endless tall tales... 
308	1	Dance is a very powerful drug, if embraced judiciously; to reap its rewards, one must shoulder its challenges with intrepid countenance. Frank Keene, a grieving baker in a near catatonic state, happens on a car accident. The loquacious and insightful victim, Steve Mills, is on his way to an appointment in Pasadena with a years-ago acquaintance; he asks Frank to go in his place. It's a dance class. Frank goes, to find Steve's friend. The story moves back and forth among Steve's childhood, the scene of the accident, and the aftermath of Frank's first Lindy hop. Black eyes, group therapy, loneliness, boys being boys, roads not taken, and saying good-bye color the story. 
309	1	A diverse group of high school students band together to peacefully stick it to their overbearing principal.
310	9	The husband of aviation engineer Kyle Pratt has just died in Berlin. Now she is flying back to New York with his coffin and their six-year-old daughter Julia. Three hours into the flight Kyle awakens to find that Julia is gone! It's a big double-decker plane, so very concerned mother has a lot of territory to cover in order to find her daughter. But as Kyle fights to discern the truth, she takes matters into her own hands. 
311	4	Morris Buttermaker (Thornton), an alcoholic pest removal worker and former professional baseball player (for a very short time), is recruited to coach and train a failing baseball team of 12 year olds which is about to be thrown out of the league. ****SPOILER**** Although the team does not win the first place in the next championship, it does achieve a great comeback. 
312	5	After Black September's assassination of Israeli athletes at the Munich Olympics in 1972, Prime Minister Golda Meir okays a black-box operation to hunt down and kill all involved. A team of five gathers in Switzerland led by Avner, a low-level Mossad techie whose father was a war hero and whose wife is pregnant. It's an expendable team, but relying on paid informants, they track and kill several in Europe and Lebanon. They must constantly look over their shoulders for the CIA, KGB, PLO, and their own sources. As the body count mounts -- with retribution following retribution -- so do questions, doubts, and sleepless nights. Loyalties blur. What does it mean to be a Jew? 
313	1	An American Pie-like teen comedy in which a high school senior tries to become the first student in years to complete the Dirty Deeds, an outrageous series of challenges that must be completed by the Homecoming banquet at 9 a.m. 
314	9	Ray Ferrier is a dock worker who is finishing a night of work in the morning, because he works the night shift. But when he gets home his young daughter Rachel and teenage son Robbie are staying with him at his house in Bayonne, New Jersey, while his pregnant ex-wife Mary Anne and her new husband Tim visit her parents in Boston for the weekend. But then the unthinkable and, ultimately, the unexpected happens to him in an extraordinary sense! Witnessing, and barely escaping the horror, first-hand, it's up to Ray to protect his two kids from terrorist and races up to Boston before one of them gets murdered by a large tripod machine in its path! 
315	3	Southern Californian Bree Osbourne, who was formerly Stanley Chupak, has finally received the news for which she has been waiting: she has been approved for male-to-female sexual reassignment surgery. But before Margaret, her therapist, will allow her to go through with the surgery scheduled in a week's time, Bree has to deal with an unresolved issue from her past. Bree got a telephone call from a seventeen year old man named Toby Wilkins, who was looking for Stanley, his biological father. Toby is in a New York jail, he who supports himself by petty crime and hustling. Stanley/Bree knew nothing about Toby before the telephone call. Toby apparently is all alone in the world, with his mother having committed suicide and being estranged from his stepfather in Tennessee. Masquerading as a Christian social worker, Bree, not telling him either of her true identity or her transgendered status... 
316	3	A heffalump is heard trumpeting in the hundred acre woods. Winnie the pooh, tigger, and piglet are scared and rush to Rabbit's house for advice. Roo joins them and they all agree that heffalumps are nearby after finding a huge footprint. They decide to set out on an expedition to catch the heffalump. Roo is not allowed to come along because he is too little. 
317	4	Danny and Walter are two brothers who barely get along even while driving their parents to distraction as their older sister tries to ignore them. Despite their squabbling, the brothers manage cooperate enough to play an old mechanical board game named Zathura. However, after their first move, they find that the game has apparently flung them, their sister and their entire house into outer space. Furthermore, the brothers surmise the only way to return home is to finish the game. However with almost every move, new dangers arise as the siblings find themselves learning to cooperate in ways they never expected as they realize what they mean to each other. 
318	1	Kelly and Evelyn Ryan live in Defiance, Ohio with their 10 children. At first glance their life seems idyllic; they call each other "Mother" and "Father" and seem to dote on the kids. But Kelly was a garage-band crooner whose voice was ruined in an auto accident. He's resigned to a dead-end factory job that barely pays the bills, and is given to fits of alcohol-induced rage. Evelyn, a stay-at-home wife and mother, deals with this abuse by appealing to her priest, who is no help at all. She deals with their poverty by entering the jingle contests that were the rage in the 50's and early 60's, even sending in multiple entries in the names of the children. She is very clever at it, winning more than her share of prizes, but her successes aren't enough to keep the wolf from the door. Further, they trigger Kelly's insecurities and he retreats deeper into the bottle, using food and mortgage money to support the habit... 
319	8	Andy at the age of 40 still hasn't had sex. He lets his secret slip at a poker game with his buds from work. After the revealing all his friends are on a mission to help get him laid. Along the way Andy meets a nice mom: Trish who fall head over heels for each other. 
